(iter 20) FAPbClClCl_THTO_0 = 35.1447, sampling MAPbBrBrCl_THTO_0. Recommendation = FAPbClClCl_THTO_0, Current Cost = 410.00, Rho = 0.010
(iter 20) MAPbBrBrCl_THTO_0 = 37.1202, sampling MAPbBrBrBr_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 437.00, Rho = 0.010
(iter 20) MAPbBrBrCl_THTO_0 = 37.1202, sampling FAPbBrBrCl_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 464.00, Rho = 0.010
(iter 20) MAPbBrBrCl_THTO_0 = 37.1202, sampling CsPbBrBrBr_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 491.00, Rho = 0.010
(iter 20) MAPbBrBrCl_THTO_0 = 37.1202, sampling CsPbBrBrCl_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 518.00, Rho = 0.010
(iter 24) CsPbBrBrCl_THTO_0 = 38.0885, sampling FAPbBrBrBr_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 545.00, Rho = 0.010
(iter 24) CsPbBrBrCl_THTO_0 = 38.0885, sampling MAPbBrClCl_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 572.00, Rho = 0.010
(iter 24) CsPbBrBrCl_THTO_0 = 38.0885, sampling CsPbBrBrI_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 599.00, Rho = 0.010
(iter 24) CsPbBrBrCl_THTO_0 = 38.0885, sampling MAPbBrBrI_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 626.00, Rho = 0.010
(iter 28) MAPbBrBrI_THTO_0 = 42.6589, sampling MAPbBrBrBr_ACE_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 653.00, Rho = 0.010
