(iter 20) CsPbBrBrBr_THTO_0 = 36.8875, sampling CsPbIII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 410.00, Rho = 0.519
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling CsPbBrBrCl_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 437.00, Rho = 0.519
(iter 21) CsPbBrBrCl_THTO_0 = 38.0885, sampling CsPbBrBrI_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 464.00, Rho = 0.519
(iter 21) CsPbBrBrCl_THTO_0 = 38.0885, sampling MAPbIII_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 491.00, Rho = 0.519
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrCl_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 518.00, Rho = 0.519
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 545.00, Rho = 0.519
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbIII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 572.00, Rho = 0.519
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 599.00, Rho = 0.519
(iter 27) MAPbBrBrI_THTO_0 = 42.6589, sampling MAPbClII_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 626.00, Rho = 0.519
