(iter 20) FAPbIII_THTO_0 = 35.9208, sampling CsPbIII_THTO_0. Recommendation = FAPbIII_THTO_0, Current Cost = 410.00, Rho = 0.298
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling CsPbClII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 437.00, Rho = 0.298
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling MAPbIII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 464.00, Rho = 0.298
(iter 22) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 491.00, Rho = 0.298
(iter 22) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 518.00, Rho = 0.298
(iter 22) MAPbIII_THTO_0 = 41.7684, sampling CsPbClClI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 545.00, Rho = 0.298
(iter 22) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrBr_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 572.00, Rho = 0.298
(iter 22) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 599.00, Rho = 0.298
(iter 27) MAPbBrBrI_THTO_0 = 42.6589, sampling MAPbBrBrCl_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 626.00, Rho = 0.298
