(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrClCl_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1046.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbClII_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1060.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrClCl_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1074.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrBrCl_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1088.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClI_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1102.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrClI_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1116.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrII_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1130.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrBrI_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1144.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbClClI_MCR_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1158.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbIII_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1172.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrBr_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1186.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbClClCl_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1200.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrBrCl_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1214.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrClCl_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1228.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbClClCl_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1242.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrBr_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1256.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrBrI_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1270.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrClCl_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1284.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrII_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1298.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClCl_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1312.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1326.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbClClI_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1340.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbClClI_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1354.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbClII_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1368.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClI_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1382.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbClClI_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1396.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 1410.00, Rho = 0.165
