(iter 35) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_MCR_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1026.00, Rho = -1.230
(iter 35) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_ACE_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1053.00, Rho = -1.230
(iter 35) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_DMF_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1080.00, Rho = -1.230
(iter 35) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_NM_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1107.00, Rho = -1.230
(iter 35) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_MCR_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1134.00, Rho = -1.230
(iter 35) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_NM_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1161.00, Rho = -1.230
(iter 35) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1188.00, Rho = -1.230
(iter 35) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1215.00, Rho = -1.230
(iter 35) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1242.00, Rho = -1.230
(iter 35) MAPbIII_THTO_0 = 41.7684, sampling CsPbClClI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1269.00, Rho = -1.230
(iter 35) MAPbIII_THTO_0 = 41.7684, sampling FAPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1296.00, Rho = -1.230
(iter 35) MAPbIII_THTO_0 = 41.7684, sampling FAPbIII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1323.00, Rho = -1.230
(iter 35) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1350.00, Rho = -1.230
(iter 35) MAPbIII_THTO_0 = 41.7684, sampling FAPbClClI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1377.00, Rho = -1.230
(iter 35) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrClI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1404.00, Rho = -1.230
(iter 35) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrClI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1431.00, Rho = -1.230
(iter 35) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClI_DMF_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1458.00, Rho = -1.230
(iter 35) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClI_ACE_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1485.00, Rho = -1.230
(iter 35) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClI_MCR_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1512.00, Rho = -1.230
(iter 35) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1539.00, Rho = -1.230
(iter 57) MAPbBrBrI_THTO_0 = 42.6589, sampling CsPbBrBrI_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 1566.00, Rho = -1.230
