(iter 34) MAPbClClI_THTO_0 = 39.2486, sampling MAPbClII_ACE_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 1269.00, Rho = -1.230
(iter 34) MAPbClClI_THTO_0 = 39.2486, sampling FAPbClClI_NMP_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 1296.00, Rho = -1.230
(iter 34) MAPbClClI_THTO_0 = 39.2486, sampling MAPbBrII_ACE_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 1323.00, Rho = -1.230
(iter 34) MAPbClClI_THTO_0 = 39.2486, sampling MAPbBrClI_MCR_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 1350.00, Rho = -1.230
(iter 34) MAPbClClI_THTO_0 = 39.2486, sampling FAPbClII_NMP_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 1377.00, Rho = -1.230
(iter 34) MAPbClClI_THTO_0 = 39.2486, sampling CsPbBrBrBr_MCR_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 1404.00, Rho = -1.230
(iter 34) MAPbClClI_THTO_0 = 39.2486, sampling MAPbBrClI_DMF_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 1431.00, Rho = -1.230
(iter 34) MAPbClClI_THTO_0 = 39.2486, sampling MAPbBrII_DMF_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 1458.00, Rho = -1.230
(iter 34) MAPbClClI_THTO_0 = 39.2486, sampling MAPbBrII_NM_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 1485.00, Rho = -1.230
(iter 34) MAPbClClI_THTO_0 = 39.2486, sampling CsPbClClI_ACE_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 1512.00, Rho = -1.230
(iter 34) MAPbClClI_THTO_0 = 39.2486, sampling CsPbIII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 1539.00, Rho = -1.230
(iter 34) MAPbClClI_THTO_0 = 39.2486, sampling FAPbIII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 1566.00, Rho = -1.230
(iter 34) MAPbClClI_THTO_0 = 39.2486, sampling MAPbIII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 1593.00, Rho = -1.230
(iter 59) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_NMP_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1620.00, Rho = -1.230
(iter 59) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_NMP_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1647.00, Rho = -1.230
(iter 59) MAPbIII_THTO_0 = 41.7684, sampling FAPbIII_NMP_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1674.00, Rho = -1.230
(iter 59) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_DMF_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1701.00, Rho = -1.230
(iter 59) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_ACE_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1728.00, Rho = -1.230
(iter 59) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_DMF_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1755.00, Rho = -1.230
(iter 59) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_NM_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1782.00, Rho = -1.230
(iter 59) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_MCR_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1809.00, Rho = -1.230
(iter 59) MAPbIII_THTO_0 = 41.7684, sampling FAPbIII_ACE_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1836.00, Rho = -1.230
(iter 59) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_NM_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1863.00, Rho = -1.230
(iter 59) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClI_ACE_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1890.00, Rho = -1.230
(iter 59) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrBr_MCR_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1917.00, Rho = -1.230
(iter 59) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrClI_DMF_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1944.00, Rho = -1.230
(iter 59) MAPbIII_THTO_0 = 41.7684, sampling CsPbClII_MCR_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1971.00, Rho = -1.230
(iter 59) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrClI_MCR_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1998.00, Rho = -1.230
(iter 59) MAPbIII_THTO_0 = 41.7684, sampling MAPbClII_DMF_0. Recommendation = MAPbIII_THTO_0, Current Cost = 2025.00, Rho = -1.230
(iter 59) MAPbIII_THTO_0 = 41.7684, sampling CsPbClII_DMF_0. Recommendation = MAPbIII_THTO_0, Current Cost = 2052.00, Rho = -1.230
(iter 59) MAPbIII_THTO_0 = 41.7684, sampling CsPbClII_ACE_0. Recommendation = MAPbIII_THTO_0, Current Cost = 2079.00, Rho = -1.230
(iter 59) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 2106.00, Rho = -1.230
(iter 78) MAPbBrBrI_THTO_0 = 42.6589, sampling CsPbBrBrI_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 2133.00, Rho = -1.230
