(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrBr_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 286.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 292.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 298.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbIII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 304.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 310.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 316.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 322.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 328.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 334.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 340.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 346.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 352.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 358.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 364.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrBr_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 370.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 376.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 382.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 388.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrBr_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 394.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 400.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbIII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 406.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 412.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbIII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 418.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 424.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_ETH_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 430.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 436.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_CHCl3_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 442.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 448.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 454.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClI_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 460.00, Rho = 0.373
(iter 46) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 466.00, Rho = 0.373
