(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClCl_DMF_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 276.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClCl_FAM_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 282.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClCl_FAM_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 288.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClCl_GBL_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 294.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClCl_NM_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 300.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClCl_GBL_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 306.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClCl_NMP_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 312.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClCl_CH3OH_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 318.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClCl_NMP_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 324.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClCl_CH3OH_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 330.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClCl_MCR_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 336.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClCl_NM_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 342.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClCl_ACE_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 348.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClCl_PYR_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 354.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrClCl_DMSO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 360.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrClCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 366.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrClCl_DMA_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 372.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrClCl_FAM_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 378.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrClCl_DMF_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 384.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrClCl_GBL_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 390.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrClCl_NMP_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 396.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrClCl_CH3OH_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 402.00, Rho = -1.230
