(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling FAPbBrClI_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 192.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling CsPbBrBrI_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 198.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling FAPbBrBrI_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 204.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling CsPbIII_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 210.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling CsPbBrII_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 216.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling FAPbIII_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 222.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling FAPbBrII_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 228.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbClClCl_FAM_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 234.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbBrClCl_FAM_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 240.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbBrBrCl_FAM_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 246.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbClClI_FAM_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 252.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbClII_FAM_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 258.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbClClCl_DMA_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 264.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbBrClCl_DMA_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 270.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbBrBrCl_DMA_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 276.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbClClI_DMA_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 282.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling CsPbClClCl_DMA_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 288.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbBrClI_DMA_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 294.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbBrBrBr_DMA_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 300.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling FAPbClClCl_DMA_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 306.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling CsPbBrClCl_DMA_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 312.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbBrBrI_DMA_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 318.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbClII_DMA_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 324.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling FAPbBrClCl_DMA_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 330.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbBrII_DMA_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 336.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling CsPbClClI_DMA_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 342.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling CsPbBrBrCl_DMA_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 348.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling FAPbClClI_DMA_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 354.00, Rho = -1.230
(iter 11) MAPbClClCl_DMSO_0 = 11.1633, sampling CsPbBrClI_DMA_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 360.00, Rho = -1.230
(iter 60) CsPbBrClI_DMA_0 = 12.9686, sampling CsPbBrBrBr_DMA_0. Recommendation = CsPbBrClI_DMA_0, Current Cost = 366.00, Rho = -1.230
