(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 276.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 282.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 288.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 294.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 300.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 306.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbIII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 312.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 318.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 324.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 330.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 336.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 342.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrBr_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 348.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 354.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 360.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 366.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 372.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 378.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbIII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 384.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbIII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 390.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrBr_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 396.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 402.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrBr_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 408.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 414.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 420.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 426.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClI_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 432.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClCl_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 438.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 444.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClII_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 450.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClI_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 456.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClCl_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 462.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbIII_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 468.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrBr_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 474.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClI_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 480.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrCl_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 486.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClI_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 492.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 498.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_CH3OH_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 504.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 510.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_CH3OH_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 516.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_CHCl3_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 522.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrCl_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 528.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 534.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 540.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 546.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClI_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 552.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClCl_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 558.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbIII_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 564.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClII_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 570.00, Rho = -1.230
