(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClCl_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 652.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClI_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 658.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 664.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClII_H2O_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 670.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClCl_PYR_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 676.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClII_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 682.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 688.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrI_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 694.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 700.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_H2O_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 706.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbIII_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 712.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 718.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 724.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 730.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrII_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 736.00, Rho = 0.172
(iter 50) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClCl_NMP_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 742.00, Rho = 0.172
