(iter 42) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrBrBr_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 270.00, Rho = -1.230
(iter 42) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 276.00, Rho = -1.230
(iter 42) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbBrClCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 282.00, Rho = -1.230
(iter 42) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbClClI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 288.00, Rho = -1.230
(iter 42) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrClI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 294.00, Rho = -1.230
(iter 42) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 300.00, Rho = -1.230
(iter 42) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbBrBrCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 306.00, Rho = -1.230
(iter 42) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbClII_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 312.00, Rho = -1.230
(iter 42) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrII_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 318.00, Rho = -1.230
(iter 42) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbIII_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 324.00, Rho = -1.230
(iter 42) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 330.00, Rho = -1.230
(iter 42) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbBrBrBr_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 336.00, Rho = -1.230
(iter 42) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbBrClI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 342.00, Rho = -1.230
(iter 42) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 348.00, Rho = -1.230
(iter 42) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbBrClCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 354.00, Rho = -1.230
(iter 42) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbBrBrI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 360.00, Rho = -1.230
(iter 42) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbBrBrCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 366.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrBr_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 372.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClII_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 378.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrII_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 384.00, Rho = -1.230
(iter 61) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClI_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 390.00, Rho = -1.230
