(iter 10) FAPbBrII_THTO_0 = 23.0520, sampling MAPbClClCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 140.00, Rho = -1.230
(iter 10) MAPbClClCl_THTO_0 = 25.5916, sampling CsPbClClCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 154.00, Rho = -1.230
(iter 11) CsPbClClCl_THTO_0 = 26.7657, sampling CsPbBrClCl_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 168.00, Rho = -1.230
(iter 11) CsPbClClCl_THTO_0 = 26.7657, sampling MAPbClClCl_GBL_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 182.00, Rho = -1.230
(iter 11) CsPbClClCl_THTO_0 = 26.7657, sampling MAPbClClCl_ACE_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 196.00, Rho = -1.230
(iter 11) CsPbClClCl_THTO_0 = 26.7657, sampling FAPbClClCl_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 210.00, Rho = -1.230
(iter 11) CsPbClClCl_THTO_0 = 26.7657, sampling MAPbClII_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 224.00, Rho = -1.230
(iter 16) MAPbClII_THTO_0 = 27.8738, sampling MAPbIII_THTO_0. Recommendation = MAPbClII_THTO_0, Current Cost = 238.00, Rho = -1.230
(iter 17) MAPbIII_THTO_0 = 29.1326, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 252.00, Rho = -1.230
