(iter 10) FAPbBrBrCl_THTO_0 = 25.6699, sampling MAPbBrBrCl_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 140.00, Rho = -1.230
(iter 10) MAPbBrBrCl_THTO_0 = 26.0185, sampling MAPbBrBrBr_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 154.00, Rho = -1.230
(iter 10) MAPbBrBrCl_THTO_0 = 26.0185, sampling MAPbBrClCl_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 168.00, Rho = -1.230
(iter 10) MAPbBrBrCl_THTO_0 = 26.0185, sampling MAPbClClCl_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 182.00, Rho = -1.230
(iter 10) MAPbBrBrCl_THTO_0 = 26.0185, sampling FAPbBrClCl_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 196.00, Rho = -1.230
(iter 10) MAPbBrBrCl_THTO_0 = 26.0185, sampling FAPbClClCl_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 210.00, Rho = -1.230
(iter 10) MAPbBrBrCl_THTO_0 = 26.0185, sampling CsPbBrBrCl_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 224.00, Rho = -1.230
(iter 10) MAPbBrBrCl_THTO_0 = 26.0185, sampling MAPbBrClI_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 238.00, Rho = -1.230
(iter 17) MAPbBrClI_THTO_0 = 28.0362, sampling MAPbIII_THTO_0. Recommendation = MAPbBrClI_THTO_0, Current Cost = 252.00, Rho = -1.230
(iter 18) MAPbIII_THTO_0 = 29.1326, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 266.00, Rho = -1.230
