(iter 10) FAPbClII_THTO_0 = 25.9464, sampling MAPbBrBrCl_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 140.00, Rho = -1.230
(iter 10) MAPbBrBrCl_THTO_0 = 26.0185, sampling MAPbBrClCl_THTO_0. Recommendation = MAPbBrClCl_THTO_0, Current Cost = 154.00, Rho = -1.230
(iter 10) MAPbBrBrCl_THTO_0 = 26.0185, sampling FAPbBrBrCl_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 168.00, Rho = -1.230
(iter 10) MAPbBrBrCl_THTO_0 = 26.0185, sampling FAPbBrBrBr_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 182.00, Rho = -1.230
(iter 10) MAPbBrBrCl_THTO_0 = 26.0185, sampling MAPbBrBrCl_DMSO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 196.00, Rho = -1.230
(iter 10) MAPbBrBrCl_THTO_0 = 26.0185, sampling MAPbBrBrCl_NMP_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 210.00, Rho = -1.230
(iter 10) MAPbBrBrCl_THTO_0 = 26.0185, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 224.00, Rho = -1.230
(iter 16) MAPbBrBrI_THTO_0 = 27.2061, sampling MAPbIII_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 238.00, Rho = -1.230
(iter 17) MAPbIII_THTO_0 = 29.1326, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 252.00, Rho = -1.230
