(iter 10) CsPbBrClI_NMP_0 = 22.7330, sampling MAPbClClCl_NMP_0. Recommendation = MAPbClClCl_NMP_0, Current Cost = 140.00, Rho = -1.230
(iter 10) MAPbClClCl_NMP_0 = 24.0368, sampling MAPbClClCl_DMSO_0. Recommendation = MAPbClClCl_NMP_0, Current Cost = 154.00, Rho = -1.230
(iter 10) MAPbClClCl_NMP_0 = 24.0368, sampling MAPbClClCl_THTO_0. Recommendation = MAPbClClCl_NMP_0, Current Cost = 168.00, Rho = -1.230
(iter 12) MAPbClClCl_THTO_0 = 25.5916, sampling MAPbClII_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 182.00, Rho = -1.230
(iter 13) MAPbClII_THTO_0 = 27.8738, sampling MAPbClClI_THTO_0. Recommendation = MAPbClII_THTO_0, Current Cost = 196.00, Rho = -1.230
(iter 14) MAPbClClI_THTO_0 = 28.3653, sampling MAPbBrClI_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 210.00, Rho = -1.230
(iter 14) MAPbClClI_THTO_0 = 28.3653, sampling MAPbBrII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 224.00, Rho = -1.230
(iter 16) MAPbBrII_THTO_0 = 28.7835, sampling MAPbIII_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 238.00, Rho = -1.230
(iter 17) MAPbIII_THTO_0 = 29.1326, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 252.00, Rho = -1.230
