(iter 10) FAPbBrBrBr_NMP_0 = 22.1731, sampling MAPbClClCl_NMP_0. Recommendation = FAPbBrBrBr_NMP_0, Current Cost = 140.00, Rho = -1.230
(iter 10) MAPbClClCl_NMP_0 = 24.0368, sampling MAPbBrClCl_NMP_0. Recommendation = MAPbClClCl_NMP_0, Current Cost = 154.00, Rho = -1.230
(iter 10) MAPbClClCl_NMP_0 = 24.0368, sampling FAPbClII_MCR_0. Recommendation = MAPbClClCl_NMP_0, Current Cost = 168.00, Rho = -1.230
(iter 10) MAPbClClCl_NMP_0 = 24.0368, sampling FAPbClII_DMSO_0. Recommendation = MAPbClClCl_NMP_0, Current Cost = 182.00, Rho = -1.230
(iter 10) MAPbClClCl_NMP_0 = 24.0368, sampling FAPbClII_THTO_0. Recommendation = MAPbClClCl_NMP_0, Current Cost = 196.00, Rho = -1.230
(iter 14) FAPbClII_THTO_0 = 25.9464, sampling FAPbClClCl_THTO_0. Recommendation = FAPbClII_THTO_0, Current Cost = 210.00, Rho = -1.230
(iter 14) FAPbClII_THTO_0 = 25.9464, sampling MAPbClII_THTO_0. Recommendation = FAPbClII_THTO_0, Current Cost = 224.00, Rho = -1.230
(iter 16) MAPbClII_THTO_0 = 27.8738, sampling MAPbIII_THTO_0. Recommendation = MAPbClII_THTO_0, Current Cost = 238.00, Rho = -1.230
(iter 17) MAPbIII_THTO_0 = 29.1326, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 252.00, Rho = -1.230
