(iter 20) MAPbBrBrI_DMSO_0 = 25.2685, sampling CsPbIII_THTO_0. Recommendation = MAPbBrBrI_DMSO_0, Current Cost = 150.00, Rho = 0.180
(iter 20) CsPbIII_THTO_0 = 27.6262, sampling CsPbBrII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 164.00, Rho = 0.180
(iter 20) CsPbIII_THTO_0 = 27.6262, sampling CsPbIII_GBL_0. Recommendation = CsPbIII_THTO_0, Current Cost = 178.00, Rho = 0.180
(iter 20) CsPbIII_THTO_0 = 27.6262, sampling CsPbIII_ACE_0. Recommendation = CsPbIII_THTO_0, Current Cost = 192.00, Rho = 0.180
(iter 20) CsPbIII_THTO_0 = 27.6262, sampling CsPbIII_NMP_0. Recommendation = CsPbIII_THTO_0, Current Cost = 206.00, Rho = 0.180
(iter 20) CsPbIII_THTO_0 = 27.6262, sampling CsPbIII_NM_0. Recommendation = CsPbIII_THTO_0, Current Cost = 220.00, Rho = 0.180
(iter 20) CsPbIII_THTO_0 = 27.6262, sampling CsPbBrBrBr_NMP_0. Recommendation = CsPbIII_THTO_0, Current Cost = 234.00, Rho = 0.180
(iter 20) CsPbIII_THTO_0 = 27.6262, sampling MAPbIII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 248.00, Rho = 0.180
(iter 27) MAPbIII_THTO_0 = 29.1326, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 262.00, Rho = 0.180
