(iter 45) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrII_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 644.00, Rho = -1.230
(iter 45) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrII_MCR_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 658.00, Rho = -1.230
(iter 45) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 672.00, Rho = -1.230
(iter 45) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 686.00, Rho = -1.230
(iter 45) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrII_NM_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 700.00, Rho = -1.230
(iter 45) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrII_ACE_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 714.00, Rho = -1.230
(iter 45) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrII_GBL_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 728.00, Rho = -1.230
(iter 45) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 742.00, Rho = -1.230
(iter 45) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 756.00, Rho = -1.230
(iter 45) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClII_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 770.00, Rho = -1.230
(iter 45) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 784.00, Rho = -1.230
(iter 56) MAPbIII_THTO_0 = 29.1326, sampling MAPbIII_MCR_0. Recommendation = MAPbIII_THTO_0, Current Cost = 798.00, Rho = -1.230
