(iter 10) MAPbClClI_NMP_0 = 26.0860, sampling MAPbBrClCl_NMP_0. Recommendation = MAPbClClI_NMP_0, Current Cost = 308.00, Rho = -1.230
(iter 10) MAPbClClI_NMP_0 = 26.0860, sampling FAPbClII_NMP_0. Recommendation = MAPbClClI_NMP_0, Current Cost = 322.00, Rho = -1.230
(iter 10) MAPbClClI_NMP_0 = 26.0860, sampling FAPbIII_NMP_0. Recommendation = MAPbClClI_NMP_0, Current Cost = 336.00, Rho = -1.230
(iter 10) MAPbClClI_NMP_0 = 26.0860, sampling MAPbBrClI_NMP_0. Recommendation = MAPbClClI_NMP_0, Current Cost = 350.00, Rho = -1.230
(iter 25) MAPbBrClI_NMP_0 = 26.3316, sampling MAPbBrBrI_NMP_0. Recommendation = MAPbBrClI_NMP_0, Current Cost = 364.00, Rho = -1.230
(iter 26) MAPbBrBrI_NMP_0 = 26.3692, sampling CsPbClClI_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 378.00, Rho = -1.230
(iter 26) MAPbBrBrI_NMP_0 = 26.3692, sampling MAPbBrBrCl_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 392.00, Rho = -1.230
(iter 26) MAPbBrBrI_NMP_0 = 26.3692, sampling FAPbBrII_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 406.00, Rho = -1.230
(iter 26) MAPbBrBrI_NMP_0 = 26.3692, sampling CsPbBrClI_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 420.00, Rho = -1.230
(iter 26) MAPbBrBrI_NMP_0 = 26.3692, sampling FAPbBrClI_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 434.00, Rho = -1.230
(iter 26) MAPbBrBrI_NMP_0 = 26.3692, sampling CsPbBrBrI_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 448.00, Rho = -1.230
(iter 26) MAPbBrBrI_NMP_0 = 26.3692, sampling CsPbClClCl_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 462.00, Rho = -1.230
(iter 26) MAPbBrBrI_NMP_0 = 26.3692, sampling FAPbBrBrI_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 476.00, Rho = -1.230
(iter 26) MAPbBrBrI_NMP_0 = 26.3692, sampling CsPbBrClCl_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 490.00, Rho = -1.230
(iter 26) MAPbBrBrI_NMP_0 = 26.3692, sampling FAPbClClCl_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 504.00, Rho = -1.230
(iter 26) MAPbBrBrI_NMP_0 = 26.3692, sampling CsPbBrBrBr_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 518.00, Rho = -1.230
(iter 26) MAPbBrBrI_NMP_0 = 26.3692, sampling MAPbClClI_DMSO_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 532.00, Rho = -1.230
(iter 26) MAPbBrBrI_NMP_0 = 26.3692, sampling FAPbBrClCl_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 546.00, Rho = -1.230
(iter 26) MAPbBrBrI_NMP_0 = 26.3692, sampling CsPbBrBrCl_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 560.00, Rho = -1.230
(iter 26) MAPbBrBrI_NMP_0 = 26.3692, sampling MAPbIII_DMSO_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 574.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling CsPbIII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 588.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 602.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling CsPbClII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 616.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 630.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling CsPbClClI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 644.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrClI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 658.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling FAPbIII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 672.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrClI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 686.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 700.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrBrI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 714.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling FAPbClII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 728.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling CsPbClClCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 742.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrClCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 756.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling FAPbClClI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 770.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrBrBr_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 784.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrBrCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 798.00, Rho = -1.230
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 812.00, Rho = -1.230
