(iter 10) MAPbBrClI_THTO_0 = 28.0362, sampling MAPbClClI_THTO_0. Recommendation = MAPbBrClI_THTO_0, Current Cost = 140.00, Rho = -1.230
(iter 10) MAPbClClI_THTO_0 = 28.3653, sampling FAPbClClI_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 154.00, Rho = -1.230
(iter 10) MAPbClClI_THTO_0 = 28.3653, sampling CsPbClClI_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 168.00, Rho = -1.230
(iter 10) MAPbClClI_THTO_0 = 28.3653, sampling FAPbBrClI_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 182.00, Rho = -1.230
(iter 10) MAPbClClI_THTO_0 = 28.3653, sampling MAPbClClCl_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 196.00, Rho = -1.230
(iter 10) MAPbClClI_THTO_0 = 28.3653, sampling MAPbBrClCl_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 210.00, Rho = -1.230
(iter 10) MAPbClClI_THTO_0 = 28.3653, sampling MAPbClII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 224.00, Rho = -1.230
(iter 10) MAPbClClI_THTO_0 = 28.3653, sampling MAPbBrII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 238.00, Rho = -1.230
(iter 17) MAPbBrII_THTO_0 = 28.7835, sampling MAPbIII_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 252.00, Rho = -1.230
(iter 18) MAPbIII_THTO_0 = 29.1326, sampling FAPbIII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 266.00, Rho = -1.230
