(iter 19) CsPbBrBrI_DMSO_0 = 25.6958, sampling MAPbBrBrI_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 364.00, Rho = -1.230
(iter 19) CsPbBrBrI_DMSO_0 = 25.6958, sampling MAPbIII_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 378.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrClI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 392.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 406.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 420.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrBrI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 434.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClClCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 448.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrClCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 462.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbClClI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 476.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbIII_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 490.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrII_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 504.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrClI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 518.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrClCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 532.00, Rho = -1.230
