(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling MAPbBrBrCl_MCR_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 630.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling CsPbBrBrBr_DMSO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 644.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling CsPbBrBrCl_DMSO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 658.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling FAPbBrBrBr_DMSO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 672.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling FAPbBrBrCl_DMSO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 686.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling CsPbBrBrBr_DMF_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 700.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling MAPbBrBrBr_ACE_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 714.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling CsPbBrBrBr_MCR_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 728.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling MAPbBrBrBr_GBL_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 742.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling CsPbBrBrCl_DMF_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 756.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling FAPbBrBrI_DMF_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 770.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling CsPbBrBrBr_ACE_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 784.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling FAPbBrBrI_MCR_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 798.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling CsPbBrBrBr_NM_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 812.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling MAPbBrBrCl_ACE_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 826.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling MAPbBrBrCl_GBL_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 840.00, Rho = -1.230
